financial_resources_rank,faculty_resources_rank,high_school_counselor_score_out_of_5,average_freshman_retention_rate,graduation_and_retention_rank,satact_25th_75th_percentile,student_selectivity_rank,rank,freshmen_in_top_10_percent_of_high_school_class,classes_with_50_or_more_students,classes_with_fewer_than_20_students,student_faculty_ratio,url,location,enrollment,tuition,predicted_graduation_rate,school_name,alumni_giving_rank,percent_of_faculty_who_are_full_time,six_year_graduation_rate,freshmen_in_top_25_percent_of_high_school_class,overperformanceunderperformance,fall_2013_acceptance_rate,peer_assessment_score_out_of_5,average_alumni_giving_rate
26,32,4.3,93,62,1270-1480,32,#38Tie,67,11,63.7,10:1,/best-colleges/case-western-reserve-university-3024,"Cleveland, OH",10325,"$43,158",88,Case Western Reserve University,42,92.6,80,92,-8,41.9,3.5,19.7
28,55,4.2,93,48,1080-1340,50,#38Tie,100,23,39.8,17:1,/best-colleges/uc-davis-1313,"Davis, CA",33307,"in-state: $13,896, out-of-state: $36,774",80,University of California—​Davis,156,96.3,84,100,4,41.3,3.8,8.1
55,41,4.1,94,33,1220-1410,43,#40Tie,60,11,48.3,10:1,/best-colleges/lehigh-university-3289,"Bethlehem, PA",7096,"$44,890",91,Lehigh University,30,88.8,86,88,-5,30.8,3.3,22.6
69,28,3.9,92,50,1130-1370,39,#40Tie,100,18,49.3,17:1,/best-colleges/ucsb-1320,"Santa Barbara, CA",22225,"in-state: $13,746, out-of-state: $36,624",81,University of California—​Santa Barbara,60,93.7,86,100,5,39.8,3.5,15.8
47,32,4.2,92,40,1190-1390,50,#42Tie,58,12,62.1,13:1,/best-colleges/boston-university-2130,"Boston, MA",32411,"$46,664",84,Boston University,132,83.6,84,89,0,36.9,3.5,9.4
82,24,4.2,95,56,1300-1480,32,#42Tie,64,7,66.3,13:1,/best-colleges/northeastern-university-2199,"Boston, MA",20034,"$43,440",79,Northeastern University,104,89.5,83,91,4,32.3,3.2,12
43,41,4.2,93,45,1290-1488,36,#42Tie,72,13,50.8,15:1,/best-colleges/rpi-2803,"Troy, NY",6995,"$47,908",89,Rensselaer Polytechnic Institute,98,92,85,95,-4,41.2,3.4,12.4
46,38,4,94,37,1040-1290,64,#42Tie,96,20,50,19:1,/best-colleges/uc-irvine-1314,"Irvine, CA",28895,"in-state: $14,757, out-of-state: $37,635",82,University of California—​Irvine,196,92.3,86,100,4,41.1,3.6,5.7
64,55,4.1,94,40,26-31,50,#42Tie,55,20,41.7,18:1,/best-colleges/uiuc-1775,"Champaign, IL",44942,"in-state: $15,602, out-of-state: $30,228",83,University of Illinois—​Urbana-​Champaign,127,100,84,87,1,62.4,3.9,9.8
59,91,4.1,95,40,26-30,54,#47,51,19,46.2,17:1,/best-colleges/university-of-wisconsin-3895,"Madison, WI",43275,"in-state: $10,410, out-of-state: $26,660",85,University of Wisconsin—​Madison,132,93.3,84,89,-1,51.1,4.1,9.4
