financial_resources_rank,faculty_resources_rank,high_school_counselor_score_out_of_5,average_freshman_retention_rate,graduation_and_retention_rank,satact_25th_75th_percentile,student_selectivity_rank,rank,freshmen_in_top_10_percent_of_high_school_class,classes_with_50_or_more_students,classes_with_fewer_than_20_students,student_faculty_ratio,url,location,enrollment,tuition,predicted_graduation_rate,school_name,alumni_giving_rank,percent_of_faculty_who_are_full_time,six_year_graduation_rate,freshmen_in_top_25_percent_of_high_school_class,overperformanceunderperformance,fall_2013_acceptance_rate,peer_assessment_score_out_of_5,average_alumni_giving_rate
262,184,,59,264,870-1080,248,"
                RNP
            ",15,6,47.8,21:1,/best-colleges/lamar-university-3581,"Beaumont, TX",14035,"in-state: $9,361, out-of-state: $19,681",39,Lamar University,256,89.7,34,37,-5,76.6,2,2.1
117,268,,65,242,820-1050,256,"
                RNP
            ",1,0.3,38.3,17:1,/best-colleges/lynn-university-1505,"Boca Raton, FL",2297,"$34,550",32,Lynn University,147,72.4,41,9,9,77.6,1.8,8.3
268,241,,71,217,19-24,237,"
                RNP
            ",16,8,40.2,19:1,/best-colleges/middle-tennessee-state-university-3510,"Murfreesboro, TN",23881,"in-state: $7,370, out-of-state: $24,434",48,Middle Tennessee State University,210,88.8,47,43,-1,70,2.1,4.8
151,239,,75,207,21-27,206,"
                RNP
            ",19,16,40.1,19:1,/best-colleges/montana-state-2532,"Bozeman, MT",15294,"in-state: $6,894, out-of-state: $21,296",55,Montana State University,147,81.5,49,44,-6,84.5,2.5,8.4
171,184,,72,256,820-980,263,"
                RNP
            ",3,0.1,42.1,17:1,/best-colleges/morgan-state-2083,"Baltimore, MD",7546,"in-state: $7,378, out-of-state: $16,862",36,Morgan State University,75,93.9,35,9,-1,56.1,1.9,14.1
214,254,,72,259,N/A,237,"
                RNP
            ",N/A,N/A,N/A,12:1,/best-colleges/national-louis-university-1733,"Chicago, IL",4814,"$15,915",47,National-​Louis University,246,N/A,30,N/A,-17,N/A,1.7,N/A
156,147,,72,220,18-24,237,"
                RNP
            ",21,10,47.6,17:1,/best-colleges/new-mexico-state-university-2657,"Las Cruces, NM",16765,"in-state: $6,573, out-of-state: $20,658",44,New Mexico State University,178,83.4,43,47,-1,85.2,2.4,7
208,203,,73,235,830-990,260,"
                RNP
            ",10,7,33.9,16:1,/best-colleges/north-carolina-at-2905,"Greensboro, NC",10561,"in-state: $5,422, out-of-state: $16,503",32,North Carolina A&T State University,156,88.8,42,31,10,56.5,2,7.7
233,219,,73,207,940-1160,227,"
                RNP
            ",21,12,33.3,19:1,/best-colleges/northern-arizona-university-1082,"Flagstaff, AZ",26606,"in-state: $9,990, out-of-state: $22,510",52,Northern Arizona University,236,82.6,49,47,-3,91.4,2.4,3.6
110,43,,71,235,950-1190,157,"
                RNP
            ",24,0.1,81,17:1,/best-colleges/nova-1509,"Ft. Lauderdale, FL",25670,"$26,700",55,Nova Southeastern University,262,72.2,41,53,-14,57.5,1.8,2
247,231,,74,228,20-26,157,"
                RNP
            ",17,14,36.5,22:1,/best-colleges/oakland-university-2307,"Rochester, MI",20169,"in-state: $11,460, out-of-state: $24,735",54,Oakland University,236,76,43,44,-11,66,2.1,3.8
255,219,,80,190,930-1130,237,"
                RNP
            ",10,11,33.8,20:1,/best-colleges/old-dominion-3728,"Norfolk, VA",24828,"in-state: $9,280, out-of-state: $25,030",53,Old Dominion University,189,81,51,33,-2,76.8,2.6,5.9
233,147,,62,264,870-960,250,"
                RNP
            ",12,0,68.2,14:1,/best-colleges/lake-university-3598,"San Antonio, TX",2927,"$24,596",43,Our Lady of the Lake University,86,64.2,32,33,-11,22.7,1.6,13.8
237,250,,72,242,19-26,231,"
                RNP
            ",N/A,N/A,N/A,N/A,/best-colleges/portland-state-3216,"Portland, OR",,"in-state: $7,878, out-of-state: $23,088",51,Portland State University,246,N/A,39,N/A,-12,N/A,2.5,3.3
185,147,,74,235,940-1170,227,"
                RNP
            ",14,0,49.2,19:1,/best-colleges/regent-university-30913,"Virginia Beach, VA",5950,"$16,638",56,Regent University,236,55.4,54,30,-2,85.4,1.8,3.7
265,252,,75,195,880-1090,250,"
                RNP
            ",14,13,24.4,24:1,/best-colleges/sam-houston-state-3606,"Huntsville, TX",19210,"in-state: $8,932, out-of-state: $19,792",48,Sam Houston State University,147,88.1,51,38,3,73.9,2,8.8
145,129,,63,252,720-870,268,"
                RNP
            ",2,3,53.4,14:1,/best-colleges/south-carolina-state-3446,"Orangeburg, SC",3463,"in-state: $9,776, out-of-state: $18,910",24,South Carolina State University,246,90.1,36,30,12,92,2.1,N/A
177,157,,62,261,16-20,263,"
                RNP
            ",N/A,1,54.1,15:1,/best-colleges/tennessee-state-3522,"Nashville, TN",8816,"in-state: $6,776, out-of-state: $20,132",31,Tennessee State University,225,86.3,29,N/A,-2,52.9,2,4
260,211,,68,249,880-1090,237,"
                RNP
            ",16,4,46.1,17:1,/best-colleges/texas-am-commerce-3565,"Commerce, TX",11068,"in-state: $7,096, out-of-state: $17,956",42,Texas A&M University—​Commerce,236,78.7,45,40,3,68.2,2.1,3.4
249,266,,61,253,870-1060,257,"
                RNP
            ",10,19,18.1,22:1,/best-colleges/texas-am-corpus-christi-11161,"Corpus Christi, TX",10913,"in-state: $7,778, out-of-state: $18,398",38,Texas A&M University—​Corpus Christi,262,84.1,35,34,-3,87,2.1,2
249,211,,60,260,16-21,257,"
                RNP
            ",9,5,37.4,20:1,/best-colleges/texas-am-kingsville-3639,"Kingsville, TX",7730,"in-state: $7,434, out-of-state: $18,294",30,Texas A&M University—​Kingsville,246,86.7,34,35,4,88,2,N/A
192,231,,60,268,750-920,267,"
                RNP
            ",5,11,37.7,19:1,/best-colleges/texas-southern-university-3642,"Houston, TX",8703,"in-state: $7,946, out-of-state: $18,566",14,Texas Southern University,262,80.3,16,20,2,45,2,1.7
264,261,,69,224,840-1070,254,"
                RNP
            ",16,13,43.8,22:1,/best-colleges/texas-womans-university-3646,"Denton, TX",15129,"in-state: $7,560, out-of-state: $18,420",47,Texas Woman's University,268,73.4,42,48,-5,86,2.2,0.6
237,99,,74,203,21-26,206,"
                RNP
            ",N/A,2,74.8,15:1,/best-colleges/trevecca-nazarene-university-3526,"Nashville, TN",2406,"$23,126",55,Trevecca Nazarene University,178,67.3,47,N/A,-8,68.4,1.6,6.6
192,118,,71,195,25-29,192,"
                RNP
            ",17,0.4,71.3,10:1,/best-colleges/trinity-international-1772,"Deerfield, IL",2687,"$27,360",56,Trinity International University,166,38.1,45,34,-11,93.9,1.7,7.1
221,198,,69,242,18-25,218,"
                RNP
            ",13,7,38.3,20:1,/best-colleges/university-of-akron-3123,"Akron, OH",24928,"in-state: $10,320, out-of-state: $18,851",40,University of Akron,75,72.3,40,33,0,96.5,2.3,14
34,176,,76,255,18-25,211,"
                RNP
            ",18,4,65.4,11:1,/best-colleges/alaska-fairbanks-1063,"Fairbanks, AK",9256,"in-state: $6,752, out-of-state: $20,072",56,University of Alaska—​Fairbanks,210,63.6,38,39,-18,79.9,2.4,5
208,110,,70,267,22,206,"
                RNP
            ",N/A,3,60.1,15:1,/best-colleges/ualr-1101,"Little Rock, AR",12377,"in-state: $7,909, out-of-state: $18,979",38,University of Arkansas—​Little Rock,262,82.5,24,N/A,-14,68.7,2.1,1.7
42,201,,74,228,20-25,218,"
                RNP
            ",21,11,34.5,16:1,/best-colleges/university-of-colorado-denver-6740,"Denver, CO",22206,"in-state: $9,625, out-of-state: $26,105",55,University of Colorado—​Denver,256,94.6,41,50,-14,69.3,2.7,2.7
255,241,,74,224,21-25,157,"
                RNP
            ",17,8,32.7,22:1,/best-colleges/louisiana-lafayette-2031,"Lafayette, LA",16646,"in-state: $6,948, out-of-state: $19,348",49,University of Louisiana—​Lafayette,166,92.5,45,43,-4,59.3,2.2,7.1
151,167,,77,228,950-1160,247,"
                RNP
            ",N/A,6,32.2,15:1,/best-colleges/umass-boston-2222,"Boston, MA",16277,"in-state: $11,966, out-of-state: $28,390",55,University of Massachusetts—​Boston,196,76,44,N/A,-11,69.9,2.5,5.4
198,167,,77,235,20-26,172,"
                RNP
            ",16,11,43.8,14:1,/best-colleges/university-of-memphis-3509,"Memphis, TN",21478,"in-state: $8,619, out-of-state: $13,275",50,University of Memphis,196,82.1,44,43,-6,73.2,2.4,5.6
225,211,,76,210,21-26,129,"
                RNP
            ",30,9,47.2,16:1,/best-colleges/umsl-2519,"St. Louis, MO",16814,"in-state: $9,474, out-of-state: $24,795",53,University of Missouri—​St. Louis,189,73.6,46,63,-7,74.2,2.4,6.2
260,231,,73,220,20-26,165,"
                RNP
            ",15,11,34.6,17:1,/best-colleges/university-of-nebraska-omaha-2554,"Omaha, NE",15227,"in-state: $6,750, out-of-state: $18,070",50,University of Nebraska—​Omaha,210,74.9,42,40,-8,70.8,2.5,5.1
221,211,,77,224,890-1110,235,"
                RNP
            ",21,18,25.9,21:1,/best-colleges/unlv-2569,"Las Vegas, NV",27858,"in-state: $6,690, out-of-state: $20,600",54,University of Nevada—​Las Vegas,210,83.5,43,48,-11,85.1,2.4,4.6
208,256,,66,261,21-25,157,"
                RNP
            ",16,16,31.3,21:1,/best-colleges/university-of-new-orleans-2015,"New Orleans, LA",9323,"in-state: $7,482, out-of-state: $21,092",46,University of New Orleans,267,87.6,32,41,-14,50.4,2,1.4
249,267,,69,217,20-24,206,"
                RNP
            ",12,13,24.6,18:1,/best-colleges/university-of-northern-colorado-1349,"Greeley, CO",12084,"in-state: $7,573, out-of-state: $18,817",48,University of Northern Colorado,225,85.3,46,38,-2,69.6,2.2,4.5
241,261,,77,207,1000-1210,227,"
                RNP
            ",20,24,26.4,23:1,/best-colleges/unt-3594,"Denton, TX",36168,"in-state: $9,706, out-of-state: $20,566",56,University of North Texas,256,85.6,46,52,-10,61.5,2.4,2.6
166,211,,66,253,20-26,186,"
                RNP
            ",N/A,9,46.1,19:1,/best-colleges/south-alabama-1057,"Mobile, AL",15065,"in-state: $6,948, out-of-state: $13,596",53,University of South Alabama,256,79.3,33,N/A,-20,86,2,2.4
232,188,,74,213,19-25,211,"
                RNP
            ",6,9,44.8,17:1,/best-colleges/university-of-southern-mississippi-2441,"Hattiesburg, MS",15249,"in-state: $6,744, out-of-state: $15,024",51,University of Southern Mississippi,132,90.1,45,35,-6,66.3,2.2,9.3
233,244,,74,240,960-1200,172,"
                RNP
            ",28,26,28.2,22:1,/best-colleges/university-of-texas-arlington-3656,"Arlington, TX",33329,"in-state: $8,878, out-of-state: $20,274",58,University of Texas—​Arlington,246,86.4,44,75,-14,60,2.5,2.8
239,219,,73,246,17-22,254,"
                RNP
            ",17,12,33.1,N/A,/best-colleges/utep-3661,"El Paso, TX",,"in-state: $7,018, out-of-state: $17,639",36,University of Texas—​El Paso,210,80.4,37,40,1,99.8,2.2,4.8
241,260,,62,266,950-1180,192,"
                RNP
            ",19,26,19.8,22:1,/best-colleges/utsa-10115,"San Antonio, TX",28623,"in-state: $8,737, out-of-state: $20,050",42,University of Texas—​San Antonio,210,91.5,30,73,-12,62,2.3,5.2
205,244,,65,228,19-25,211,"
                RNP
            ",17,16,27.4,21:1,/best-colleges/university-of-toledo-3131,"Toledo, OH",20782,"in-state: $9,280, out-of-state: $19,158",49,University of Toledo,196,91,46,40,-3,90.7,2.3,5.3
255,241,,72,217,21-25,235,"
                RNP
            ",12,11,31.6,24:1,/best-colleges/west-florida-3955,"Pensacola, FL",12588,"in-state: $8,942, out-of-state: $21,824",54,University of West Florida,65,76.4,42,36,-12,48.1,2,15.4
225,219,,71,235,19-24,244,"
                RNP
            ",9,10,43.4,18:1,/best-colleges/uw-milwaukee-3896,"Milwaukee, WI",27784,"in-state: $9,882, out-of-state: $19,610",43,University of Wisconsin—​Milwaukee,246,85.5,41,28,-2,88.4,2.7,3
89,176,,77,256,19-26,157,"
                RNP
            ",23,9,48.6,15:1,/best-colleges/wayne-state-2329,"Detroit, MI",27897,"in-state: $12,350, out-of-state: $26,592",49,Wayne State University,210,79.6,32,46,-17,76.2,2.5,5
214,225,,72,224,21-26,179,"
                RNP
            ",23,11,40.8,20:1,/best-colleges/wichita-state-university-1950,"Wichita, KS",14550,"in-state: $7,267, out-of-state: $16,697",53,Wichita State University,166,84.1,46,50,-7,95.8,2.4,7.4
177,157,,63,246,19-25,223,"
                RNP
            ",15,13,44.4,21:1,/best-colleges/wright-state-9168,"Dayton, OH",16656,"in-state: $8,730, out-of-state: $16,910",43,Wright State University,225,99.7,41,36,-2,96.3,2.3,4.2
N/A,N/A,,N/A,N/A,N/A,N/A,"
                Unranked
            ",N/A,N/A,N/A,N/A,/best-colleges/alliant-international-university-1158,"San Diego, CA",4845,"$19,930",73,Alliant International University,N/A,59.1,29,N/A,-44,N/A,1.4,N/A
N/A,N/A,,N/A,N/A,N/A,N/A,"
                Unranked
            ",N/A,N/A,N/A,N/A,/best-colleges/argosy-university-21799,"Orange, CA",,"$13,663",N/A,Argosy University,N/A,N/A,N/A,N/A,N/A,N/A,1.3,N/A
N/A,N/A,,N/A,N/A,N/A,N/A,"
                Unranked
            ",N/A,0,87,N/A,/best-colleges/california-institute-of-integral-studies-12154,"San Francisco, CA",1271,"$25,713",N/A,California Institute of Integral Studies,N/A,59.3,N/A,N/A,N/A,N/A,1.5,N/A
N/A,N/A,,N/A,N/A,N/A,N/A,"
                Unranked
            ",N/A,N/A,N/A,N/A,/best-colleges/capella-university-32673,"Minneapolis, MN",,"$12,348",N/A,Capella University,N/A,N/A,N/A,N/A,N/A,N/A,1.4,N/A
N/A,N/A,,N/A,N/A,N/A,N/A,"
                Unranked
            ",N/A,N/A,N/A,N/A,/best-colleges/colorado-technical-university-10148,"Colorado Springs, CO",,"$11,300",N/A,Colorado Technical University,N/A,N/A,14,N/A,N/A,N/A,2,N/A
N/A,N/A,,N/A,N/A,N/A,N/A,"
                Unranked
            ",N/A,N/A,N/A,N/A,/best-colleges/idaho-state-1620,"Pocatello, ID",,"in-state: $6,344, out-of-state: $18,676",37,Idaho State University,N/A,N/A,29,N/A,-8,N/A,2.4,N/A
N/A,N/A,,N/A,N/A,N/A,N/A,"
                Unranked
            ",N/A,N/A,N/A,7:1,/best-colleges/northcentral-university-666122,"Prescott Valley, AZ",13091,N/A,N/A,Northcentral University,N/A,41.9,N/A,N/A,N/A,N/A,1.7,N/A
N/A,N/A,,N/A,N/A,N/A,N/A,"
                Unranked
            ",N/A,N/A,N/A,N/A,/best-colleges/trident-university-international-41279,"Cypress, CA",,"$6,600",N/A,Trident University International,N/A,N/A,42,N/A,N/A,N/A,1.5,N/A
N/A,N/A,,N/A,N/A,N/A,N/A,"
                Unranked
            ",N/A,N/A,N/A,N/A,/best-colleges/union-institute-10923,"Cincinnati, OH",,"$11,904",48,Union Institute and University,N/A,N/A,20,N/A,-28,N/A,1.9,N/A
N/A,N/A,,N/A,N/A,N/A,N/A,"
                Unranked
            ",N/A,N/A,N/A,N/A,/best-colleges/university-of-phoenix-209885,"Phoenix, AZ",,N/A,N/A,University of Phoenix,N/A,N/A,5,N/A,N/A,N/A,1.3,N/A
N/A,N/A,,N/A,N/A,N/A,N/A,"
                Unranked
            ",N/A,N/A,N/A,N/A,/best-colleges/walden-university-25042,"Minneapolis, MN",51016,"$14,300",N/A,Walden University,N/A,25.4,N/A,N/A,N/A,98,1.6,N/A
N/A,N/A,,61,N/A,N/A,N/A,"
                Unranked
            ",N/A,N/A,N/A,14:1,/best-colleges/wilmington-university-7948,"New Castle, DE",13621,"$10,190",42,Wilmington University,N/A,N/A,41,N/A,-1,99.5,2.1,N/A
