high_school_counselor_score_out_of_5,average_alumni_giving_rate,peer_assessment_score_out_of_5,graduation_and_retention_rank,classes_with_50_or_more_students,satact_25th_75th_percentile,student_faculty_ratio,location,freshmen_in_top_25_percent_of_high_school_class,student_selectivity_rank,percent_of_faculty_who_are_full_time,alumni_giving_rank,overperformanceunderperformance,freshmen_in_top_10_percent_of_high_school_class,rank,tuition,fall_2013_acceptance_rate,average_freshman_retention_rate,url,six_year_graduation_rate,predicted_graduation_rate,enrollment,faculty_resources_rank,classes_with_fewer_than_20_students,school_name,financial_resources_rank
N/A,5.6%,2.7,58,7%,920-1110,22:1,"Millersville, PA",34%,84,82.8%,114,7,12%,#87Tie,"in-state: $10,268, out-of-state: $23,648",65%,81%,/best-colleges/millersville-university-of-pennsylvania-3325,61%,54%,8279,135,22.8%,Millersville University of Pennsylvania,138
N/A,12%,2.5,64,2%,920-1170,12:1,"Rochester, NY",52%,53,62.7%,48,5,21%,#87Tie,"$27,364",72.6%,81%,/best-colleges/roberts-wesleyan-college-2805,61%,56%,1835,142,63.6%,Roberts Wesleyan College,90
N/A,11.2%,2.4,68,0%,840-1090,11:1,"Troy, NY",43%,109,80.3%,54,18,14%,#87Tie,"$28,200",56.6%,76%,/best-colleges/russell-sage-college-2810,58%,40%,2832,128,59.4%,The Sage Colleges,108
N/A,12.6%,2.8,93,3%,890-1080,19:1,"Shippensburg, PA",26%,119,92.5%,45,7,7%,#87Tie,"in-state: $9,774, out-of-state: $18,520",83.4%,71%,/best-colleges/shippensburg-university-3326,55%,48%,7548,86,25.9%,Shippensburg University of Pennsylvania,149
N/A,9.2%,2.7,110,2%,930-1170,13:1,"Potsdam, NY",23%,109,88.2%,69,5,10%,#87Tie,"in-state: $7,553, out-of-state: $17,203",68.4%,76%,/best-colleges/suny-potsdam-2850,51%,46%,4042,37,68.4%,SUNY College—​Potsdam,73
N/A,5.9%,3,137,12%,980-1180,18:1,"North Dartmouth, MA",46%,59,82.1%,110,-6,21%,#87Tie,"in-state: $11,681, out-of-state: $18,363",75.1%,73%,/best-colleges/umass-dartmouth-2210,49%,55%,9053,117,37.6%,University of Massachusetts—​Dartmouth,56
N/A,14.2%,2.6,110,1%,880-1040,10:1,"West Hartford, CT",41%,96,61.8%,30,-3,1%,#87Tie,"$34,755",63.9%,77%,/best-colleges/saint-joseph-college-1409,52%,55%,2640,67,73.2%,University of St. Joseph,23
N/A,7.6%,2.5,78,0.3%,950-1138,16:1,"York, PA",40%,67,60.8%,84,3,12%,#87Tie,"$17,630",73.5%,76%,/best-colleges/york-college-of-pennsylvania-3399,58%,55%,5248,16,44.2%,York College of Pennsylvania,151
N/A,5.3%,2.6,82,5%,940-1140,15:1,"Moon Township, PA",42%,74,67.7%,120,5,14%,#96Tie,"$26,054",80.3%,78%,/best-colleges/robert-morris-university-pennsylvania-3359,56%,51%,5481,77,43.4%,Robert Morris University,113
N/A,13.5%,2.2,74,0%,800-1040,10:1,"Rosemont, PA",49%,96,43.4%,37,17,27%,#96Tie,"$31,550",58.4%,71%,/best-colleges/rosemont-college-3360,68%,51%,957,103,84.8%,Rosemont College,61
