high_school_counselor_score_out_of_5,average_alumni_giving_rate,peer_assessment_score_out_of_5,graduation_and_retention_rank,classes_with_50_or_more_students,satact_25th_75th_percentile,student_faculty_ratio,location,freshmen_in_top_25_percent_of_high_school_class,student_selectivity_rank,percent_of_faculty_who_are_full_time,alumni_giving_rank,overperformanceunderperformance,freshmen_in_top_10_percent_of_high_school_class,rank,tuition,fall_2013_acceptance_rate,average_freshman_retention_rate,url,six_year_graduation_rate,predicted_graduation_rate,enrollment,faculty_resources_rank,classes_with_fewer_than_20_students,school_name,financial_resources_rank
N/A,8.6%,2.9,48,0%,868-1070,17:1,"Belmont, NC",26%,46,80.7%,36,-11,8%,#37Tie,"$18,500",67.6%,65%,/best-colleges/belmont-abbey-2910,38%,49%,1647,43,62.6%,Belmont Abbey College,44
N/A,10.4%,2.9,54,0%,830-1040,12:1,"Mars Hill, NC",26%,52,81.7%,31,-3,8%,#37Tie,"$25,636",64.5%,57%,/best-colleges/mars-hill-college-2944,38%,41%,1440,27,71.9%,Mars Hill University,53
N/A,N/A,2.2,3,0%,N/A,12:1,"Ft. Lauderdale, FL",N/A,88,82.7%,72,N/A,N/A,#40,"$16,284",N/A,76%,/best-colleges/keiser-university-21519,68%,N/A,17129,38,80.6%,Keiser University,19
N/A,2.6%,2.8,40,5%,850-1080,20:1,"Lakeland, FL",N/A,67,68.3%,66,-5,N/A,#41Tie,"$22,202",59.3%,66%,/best-colleges/southeastern-university-1521,39%,44%,3434,23,63.7%,Southeastern University,58
N/A,11.8%,2.6,33,4%,19-24,12:1,"Athens, TN",20%,31,73.8%,27,-4,20%,#41Tie,"$22,300",71.4%,63%,/best-colleges/tennessee-wesleyan-college-3525,44%,48%,1081,36,70.6%,Tennessee Wesleyan College,68
N/A,14%,2.8,56,0%,19-24,13:1,"Owensboro, KY",N/A,23,69.4%,21,-17,N/A,#43Tie,"$19,990",45%,58%,/best-colleges/brescia-university-1958,30%,47%,949,29,87.8%,Brescia University,62
N/A,13.1%,2.2,71,0%,16-22,10:1,"Little Rock, AR",44%,31,90.9%,23,17,16%,#43Tie,"$10,490",41.5%,63%,/best-colleges/philander-smith-college-1103,44%,27%,556,29,83.3%,Philander Smith College,8
N/A,11.4%,2.8,82,4%,15-20,15:1,"Pine Bluff, AR",27%,54,92.8%,29,3,11%,#43Tie,"in-state: $5,956, out-of-state: $11,626",27.7%,56%,/best-colleges/university-of-arkansas-pine-bluff-1086,26%,23%,2615,40,55.3%,University of Arkansas—​Pine Bluff,10
N/A,N/A,2.9,45,N/A,17-22,N/A,"Huntsville, AL",N/A,57,100%,72,-2,N/A,#46,"$16,234",34.4%,71%,/best-colleges/oakwood-university-1033,38%,40%,,78,N/A,Oakwood University,31
N/A,8.4%,2.4,52,0%,830-1030,13:1,"Franklin Springs, GA",N/A,67,79.1%,36,13,N/A,#47Tie,"$18,170",47.8%,62%,/best-colleges/emmanuel-college-georgia-1563,46%,33%,806,36,67.7%,Emmanuel College,27
N/A,3.1%,2.7,68,2%,18-23,N/A,"Montgomery, AL",22%,48,53.9%,66,-2,6%,#47Tie,"$18,230",60.4%,53%,/best-colleges/faulkner-university-1003,34%,36%,,7,71.5%,Faulkner University,48
N/A,9%,3,72,0%,780-990,16:1,"Ferrum, VA",15%,80,87.1%,36,-6,2%,#47Tie,"$29,795",74.1%,54%,/best-colleges/ferrum-college-3711,32%,38%,1512,40,55.6%,Ferrum College,35
N/A,3.8%,2.8,56,2%,18-24,17:1,"Athens, WV",44%,28,77.4%,61,-2,19%,#50Tie,"in-state: $6,422, out-of-state: $14,118",45%,63%,/best-colleges/concord-university-athens-3810,35%,37%,2809,44,56.6%,Concord University,95
N/A,N/A,2.7,26,N/A,17-23,N/A,"Elkins, WV",N/A,67,86.5%,72,7,N/A,#50Tie,"$24,992",57.3%,55%,/best-colleges/davis-and-elkins-college-3811,51%,44%,,67,N/A,Davis and Elkins College,75
N/A,13.5%,2.3,42,3%,18-25,10:1,"Nashville, TN",42%,17,77.8%,23,-5,22%,#52Tie,"$16,891",52.1%,65%,/best-colleges/free-will-college-30018,37%,42%,338,61,84%,Welch College,36
