high_school_counselor_score_out_of_5,average_alumni_giving_rate,peer_assessment_score_out_of_5,graduation_and_retention_rank,classes_with_50_or_more_students,satact_25th_75th_percentile,student_faculty_ratio,location,freshmen_in_top_25_percent_of_high_school_class,student_selectivity_rank,percent_of_faculty_who_are_full_time,alumni_giving_rank,overperformanceunderperformance,freshmen_in_top_10_percent_of_high_school_class,rank,tuition,fall_2013_acceptance_rate,average_freshman_retention_rate,url,six_year_graduation_rate,predicted_graduation_rate,enrollment,faculty_resources_rank,classes_with_fewer_than_20_students,school_name,financial_resources_rank
N/A,3.5%,2.4,66,1%,820-950,20:1,"Albany, GA",27%,111,84.3%,95,13,7%,#76Tie,"in-state: $6,024, out-of-state: $18,226",24%,69%,/best-colleges/albany-state-university-1544,43%,30%,4260,98,52.2%,Albany State University,57
N/A,N/A,3,125,1%,18-23,16:1,"Montgomery, AL",38%,50,81.9%,104,-10,16%,#76Tie,"in-state: $9,080, out-of-state: $19,640",72.2%,58%,/best-colleges/auburn-montgomery-8310,33%,43%,5096,57,51.6%,Auburn University—​Montgomery,42
N/A,2.9%,2.5,72,6%,830-1060,15:1,"Florence, SC",42%,83,87.3%,99,-2,15%,#76Tie,"in-state: $9,738, out-of-state: $19,004",56.7%,67%,/best-colleges/francis-marion-9226,41%,43%,4058,67,44.2%,Francis Marion University,57
N/A,9.1%,2.8,94,4%,18-25,19:1,"Troy, AL",52%,64,72%,42,-7,N/A,#76Tie,"in-state: $9,416, out-of-state: $17,336",67.2%,68%,/best-colleges/troy-university-1047,34%,41%,20574,91,44.6%,Troy University,66
N/A,2.1%,2.5,42,5%,900-1150,18:1,"Lynchburg, VA",38%,40,83.3%,119,4,16%,#80,"$21,706",21.2%,77%,/best-colleges/liberty-university-10392,50%,46%,77329,111,41.6%,Liberty University,127
N/A,10.2%,2.5,66,0.2%,18-24,13:1,"Campbellsville, KY",N/A,80,77.2%,36,-5,N/A,#81Tie,"$22,842",68.4%,69%,/best-colleges/campbellsville-university-1959,41%,46%,3557,98,59.4%,Campbellsville University,78
N/A,16.8%,2.3,115,0%,19-24,13:1,"Barbourville, KY",N/A,64,77.1%,12,-4,N/A,#81Tie,"$22,980",74.7%,56%,/best-colleges/union-college-kentucky-1988,34%,38%,1164,51,77.7%,Union College,38
N/A,4.5%,2.7,89,14%,20-25,21:1,"Monroe, LA",50%,37,90.9%,82,-4,25%,#81Tie,"in-state: $6,963, out-of-state: $19,121",77.2%,71%,/best-colleges/louisiana-monroe-2020,40%,44%,8645,125,37.7%,University of Louisiana—​Monroe,57
N/A,6.5%,2.8,102,3%,19-25,21:1,"Florence, AL",N/A,60,87.8%,54,-16,N/A,#81Tie,"in-state: $9,073, out-of-state: $16,393",73.1%,69%,/best-colleges/university-of-north-alabama-1016,32%,48%,6931,51,45.3%,University of North Alabama,94
N/A,11.5%,2.3,49,0.2%,20-25,12:1,"Bristol, TN",40%,86,60.3%,29,-6,16%,#85Tie,"$25,708",63.8%,70%,/best-colleges/king-college-3496,47%,53%,2587,88,70.8%,King University,108
N/A,2.1%,2.7,81,3%,21-26,N/A,"Marietta, GA",42%,28,88%,119,-17,12%,#85Tie,"in-state: $6,810, out-of-state: $20,594",79%,75%,/best-colleges/southern-polytechnic-1570,38%,55%,6549,93,41.5%,Southern Polytechnic State University,87
N/A,N/A,2.7,52,16%,940-1100,23:1,"Fort Myers, FL",36%,88,85.1%,104,-10,11%,#87Tie,"in-state: $6,118, out-of-state: $24,255",65.8%,75%,/best-colleges/fgcu-32553,44%,54%,14098,120,19%,Florida Gulf Coast University,106
N/A,6.7%,2.6,85,9%,20-24,22:1,"Lake Charles, LA",41%,43,85.1%,54,-2,18%,#87Tie,"in-state: $5,701, out-of-state: $16,603",59.5%,69%,/best-colleges/mcneese-state-2017,37%,39%,8349,105,36.4%,McNeese State University,122
N/A,6.8%,2.5,79,11%,20-24,20:1,"Thibodaux, LA",40%,54,93.1%,54,-1,16%,#87Tie,"in-state: $7,234, out-of-state: $17,481",86.9%,70%,/best-colleges/nicholls-state-university-2005,42%,43%,6540,102,39.6%,Nicholls State University,95
N/A,3.3%,2.4,81,10%,19-24,19:1,"Natchitoches, LA",44%,40,77.7%,97,4,19%,#87Tie,"in-state: $6,807, out-of-state: $17,595",57.9%,70%,/best-colleges/northwestern-state-2021,42%,38%,8944,98,44.7%,Northwestern State University of Louisiana,95
N/A,3.1%,2.5,94,2%,840-1010,15:1,"Pembroke, NC",35%,108,92.7%,99,-3,11%,#87Tie,"in-state: $5,287, out-of-state: $15,238",70.7%,67%,/best-colleges/unc-pembroke-2954,33%,36%,6222,38,43.5%,University of North Carolina—​Pembroke,66
N/A,3.7%,2.6,72,6%,18-25,20:1,"Russellville, AR",33%,60,81.9%,93,-1,13%,#92Tie,"in-state: $7,248, out-of-state: $13,518",85%,69%,/best-colleges/arkansas-tech-1089,41%,42%,11369,95,41.8%,Arkansas Tech University,126
N/A,N/A,2.5,92,1%,18-22,19:1,"Cleveland, MS",40%,90,84.6%,104,-8,17%,#92Tie,"$6,187",89.4%,63%,/best-colleges/delta-state-university-2403,35%,43%,4785,34,67.8%,Delta State University,90
N/A,6.1%,2.7,110,14%,21-24,N/A,"St. Petersburg, FL",56%,19,70.9%,63,N/A,14%,#92Tie,"in-state: $5,716, out-of-state: $15,638",45.8%,67%,/best-colleges/university-of-south-florida--st-petersburg-153701,31%,N/A,,120,21.2%,University of South Florida—​St. Petersburg,122
